"名称","ふりがな","所在地","電話番号","FAX","URL","備考","大分類__","中分類__","小分類__","経度","緯度"
"三鷹市消費者活動センター","","東京都三鷹市下連雀3-22-7","0422-43-7874","0422-45-3300","http://www.city.mitaka.tokyo.jp/c_service/000/000510.html","","市役所・市政窓口等","その他の市の施設","消費者活動センター","139.56204904","35.70067728"
"三鷹産業プラザ","","東京都三鷹市下連雀3-38-4","0422-40-9911","","http://www.mitaka.ne.jp/plaza/","","市役所・市政窓口等","市民活動施設・産業支援施設","三鷹産業プラザ","139.56026493","35.69863043"
"上連雀浄水所","","東京都三鷹市上連雀9-41-4","0570-091-101(ナビダイヤル)又は042-548-5110","042-548-5115","","","環境関連施設","ごみ処理施設・上下水道施設","上下水道施設","139.55075751","35.68684110"
"東部水再生センター","","東京都三鷹市新川1-1-1","03-3309-1447","03-3309-9148","","","環境関連施設","ごみ処理施設・上下水道施設","上下水道施設","139.57848742","35.66791378"
"東児童館","","東京都三鷹市牟礼2-13-19","0422-44-2150","0422-46-7070","http://www.city.mitaka.tokyo.jp/c_service/018/018097.html","","保育・教育施設","子ども・子育て支援施設","児童館・学童保育クラブ","139.58470504","35.68410452"
"西児童館","","東京都三鷹市深大寺2-3-5","0422-31-6039","0422-31-6261","http://www.city.mitaka.tokyo.jp/c_service/001/001103.html","","保育・教育施設","子ども・子育て支援施設","児童館・学童保育クラブ","139.54511562","35.68859176"
"むらさき子どもひろば","","東京都三鷹市下連雀1-25-2","0422-49-5500","0422-49-5400","http://www.city.mitaka.tokyo.jp/c_service/001/001104.html","","保育・教育施設","子ども・子育て支援施設","児童館・学童保育クラブ","139.56818871","35.69496146"
"牟礼老人保健施設「はなかいどう」","","東京都三鷹市牟礼6-12-30","0422-44-7700","","http://www.city.mitaka.tokyo.jp/c_service/000/000934.html","","福祉・介護施設","高齢者施設","介護施設","139.57432617","35.68796241"
"高齢者センター　けやき苑","","東京都三鷹市深大寺2-29-13","0422-34-5440","","http://www.city.mitaka.tokyo.jp/c_service/000/000933.html","","福祉・介護施設","高齢者施設","介護施設","139.54106921","35.68504065"
"高齢者センター　どんぐり山","","東京都三鷹市大沢4-8-8","0422-33-2255","","http://www.city.mitaka.tokyo.jp/c_service/000/000933.html","","福祉・介護施設","高齢者施設","介護施設","139.53983585","35.66925309"
"北野ハピネスセンター","","東京都三鷹市北野1-9-29","0422-48-6331","0422-43-0304","http://www.city.mitaka.tokyo.jp/c_service/004/004117.html","","福祉・介護施設","障がい者施設","障がい者施設","139.58605040","35.67996297"
"みたかボランティアセンター","","東京都三鷹市上連雀8-3-10 (建替中、現在は三鷹市福祉会館２Ｆ)","0422-76-1271","0422-76-1273","http://www.city.mitaka.tokyo.jp/c_service/000/000999.html","","福祉・介護施設","保健・福祉施設","保健・福祉施設","139.55776150","35.68479932"
"教育センター（工事中）","","東京都三鷹市下連雀9-11-7","0422-45-1151","0422-43-0320","http://www.city.mitaka.tokyo.jp/c_sections/kyoiku/index.html","","市役所・市政窓口等","市役所・市政窓口","市政窓口","139.56005593","35.68426214"
"子ども家庭支援センターすくすくひろば","","東京都三鷹市下連雀4-19-6","0422-45-7710","0422-45-7713","http://www.city.mitaka.tokyo.jp/c_service/001/001093.html","","保育・教育施設","子ども・子育て支援施設","その他の支援施設","139.56037453","35.69596803"
"子ども林間研修広場なんじゃもんじゃの森","","東京都三鷹市野崎2-13-5","","","","","保育・教育施設","子ども・子育て支援施設","子ども林間研修広場","139.54822848","35.68548039"
"井の頭東部地区公会堂","","東京都三鷹市井の頭1-3-18","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.59142093","35.68996194"
"三鷹台地区公会堂","","東京都三鷹市井の頭2-21-18","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.58452646","35.69141179"
"牟礼東地区公会堂","","東京都三鷹市牟礼1-14-2","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.58760096","35.68503509"
"牟礼地区公会堂","","東京都三鷹市牟礼3-9-2","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.58069141","35.68847352"
"高山地区公会堂","","東京都三鷹市牟礼4-13-37","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.57477665","35.69230373"
"牟礼南地区公会堂","","東京都三鷹市牟礼5-4-11","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.58207730","35.68324605"
"牟礼西地区公会堂","","東京都三鷹市牟礼6-1-21","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.57692470","35.68668922"
"新川三丁目地区公会堂","","東京都三鷹市新川3-20-18","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.56970907","35.67765075"
"新川宿地区公会堂","","東京都三鷹市新川6-5-17","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.56900214","35.68246408"
"天神前地区公会堂","","東京都三鷹市北野3-11-35","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.57826195","35.68003741"
"北野地区公会堂","","東京都三鷹市北野4-10-1","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.58200671","35.67319997"
"中原一丁目地区公会堂","","東京都三鷹市中原1-26-15","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.57625762","35.66516353"
"中原地区公会堂","","東京都三鷹市中原4-5-13","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.57025482","35.66554207"
"下連雀むらさき地区公会堂","","東京都三鷹市下連雀2-10-21","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.56710530","35.69489144"
"三鷹駅前地区公会堂","","東京都三鷹市下連雀3-22-7","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.56213699","35.70075904"
"下連雀地区公会堂","","東京都三鷹市下連雀4-15-18","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","生涯学習施設","ネットワーク大学","139.56171695","35.69522585"
"下連雀南浦地区公会堂","","東京都三鷹市下連雀7-5-1","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.56293688","35.68941994"
"下連雀八丁目地区公会堂","","東京都三鷹市下連雀8-2-9","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.56718884","35.68633320"
"上連雀堀合地区公会堂","","東京都三鷹市上連雀1-15-15","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.55325516","35.70283287"
"上連雀新道北地区公会堂","","東京都三鷹市上連雀2-12-14","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.55689498","35.69953264"
"上連雀通北地区公会堂","","東京都三鷹市上連雀5-16-26","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.55283141","35.69746676"
"上連雀地区公会堂","","東京都三鷹市上連雀7-8-35","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","生涯学習施設","ネットワーク大学","139.55419245","35.69365843"
"山中地区公会堂","","東京都三鷹市上連雀8-21-14","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.55511873","35.68469426"
"野崎地区公会堂","","東京都三鷹市野崎2-4-29","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.54916314","35.68445953"
"井口地区公会堂","","東京都三鷹市井口1-9-32","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.54943406","35.69094731"
"井口西地区公会堂","","東京都三鷹市井口4-7-13","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.53417094","35.69388297"
"深大寺地区公会堂","","東京都三鷹市深大寺1-15-27","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.53829785","35.69240295"
"東野地区公会堂","","東京都三鷹市深大寺2-9-8","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.54461139","35.69042534"
"大沢原地区公会堂","","東京都三鷹市大沢1-12-6","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.53956234","35.67756265"
"大沢地区公会堂","","東京都三鷹市大沢3-4-3","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.53530043","35.68160500"
"一小学童保育所A","","東京都三鷹市新川3-21-2","0422-45-3688","0422-45-3688","","","保育・教育施設","学童保育所","学童保育所","139.56910043","35.67754584"
"二小学童保育所A","","東京都三鷹市野崎3-19-1","0422-31-3868","0422-31-3868","","","保育・教育施設","学童保育所","学童保育所","139.54294711","35.68491623"
"二小学童保育所B","","東京都三鷹市野崎3-12-18","0422-32-4140","0422-32-4140","","","保育・教育施設","学童保育所","学童保育所","139.54319298","35.68513577"
"四小学童保育所","","東京都三鷹市下連雀1-25-2","0422-48-9547","0422-49-5400","","","保育・教育施設","学童保育所","学童保育所","139.56818991","35.69498475"
"六小学童保育所A","","東京都三鷹市下連雀6-13-1","0422-47-0230","0422-47-0230","","","保育・教育施設","学童保育所","学童保育所","139.56521018","35.68790789"
"七小学童保育所A","","東京都三鷹市上連雀7-7-7","0422-46-5278","0422-46-5278","","","保育・教育施設","学童保育所","学童保育所","139.55526887","35.69287226"
"大沢台小学童保育所","","東京都三鷹市大沢2-9-3","0422-32-8505","0422-32-8505","","","保育・教育施設","学童保育所","学童保育所","139.53368872","35.68050516"
"南浦小学童保育所A","","東京都三鷹市下連雀9-6-28","0422-47-8566","0422-47-8566","","","保育・教育施設","学童保育所","学童保育所","139.56082579","35.68618095"
"中原小学童保育所A","","東京都三鷹市中原2-12-13","0422-47-8951","0422-47-8951","","","保育・教育施設","学童保育所","学童保育所","139.57058291","35.66978045"
"北野小学童保育所A","","東京都三鷹市北野3-1-5","0422-46-0961","0422-46-0961","","","保育・教育施設","学童保育所","学童保育所","139.58239975","35.67905634"
"東台小学童保育所","","東京都三鷹市中原2-17-37","0422-46-8004","0422-46-8004","","","保育・教育施設","学童保育所","学童保育所","139.57153510","35.66734544"
"羽沢小学童保育所","","東京都三鷹市大沢4-9-1","0422-31-8152","0422-31-8152","","","保育・教育施設","学童保育所","学童保育所","139.53817537","35.66998529"
"南浦小学童保育所B","","東京都三鷹市下連雀9-6-28","0422-49-8731","0422-49-8731","","","保育・教育施設","学童保育所","学童保育所","139.56093618","35.68617485"
"福祉コアかみれん（障がい者自立支援センターゆー・あい）","","東京都三鷹市上連雀4-1-8","0422-43-9047","0422-43-9045","","","福祉・介護施設","障がい者施設","障がい者施設","139.55894101","35.69710027"
"福祉コアかみれん（三鷹ひまわり第二共同作業所）","","東京都三鷹市上連雀4-1-8","0422-48-5240","0422-48-0252","","","福祉・介護施設","障がい者施設","障がい者施設","139.55893821","35.69704807"
"福祉コアかみれん（みたか街かど自立センター）","","東京都三鷹市上連雀4-1-8","0422-48-0648","0422-48-0648","http://m-matikado.hp.infoseek.co.jp/","","福祉・介護施設","障がい者施設","障がい者施設","139.55893591","35.69700598"
"下連雀複合施設（ワークセンターゆめ）","","東京都三鷹市下連雀4-15-18","0422-48-8843","0422-24-6270","","","福祉・介護施設","障がい者施設","障がい者施設","139.56159268","35.69516608"
"新川作業所（ワークセンターいくせい工房）","","東京都三鷹市新川3-10-8 2階","0422-71-5499","0422-71-5499","","","福祉・介護施設","障がい者施設","障がい者施設","139.57176417","35.67829903"
"新川作業所（ワークセンターゆうゆう舎）","","東京都三鷹市新川3-10-8　1階","0422-41-5959","0422-26-9006","","","福祉・介護施設","障がい者施設","障がい者施設","139.57175918","35.67820534"
"ピアえきまえ（ワークセンタータートルステップ）","","東京都三鷹市下連雀3-8-13","0422-41-2180","0422-41-2181","","","福祉・介護施設","障がい者施設","障がい者施設","139.56374643","35.69874961"
"特別養護老人ホーム「弘済園」","","東京都三鷹市下連雀5-2-5","0422-43-3319","","http://www.city.mitaka.tokyo.jp/c_service/000/000934.html","","福祉・介護施設","高齢者施設","高齢者介護施設","139.57133749","35.68627342"
"特別養護老人ホーム「どんぐり山」","","東京都三鷹市大沢4-8-8","0422-33-2255","","http://www.city.mitaka.tokyo.jp/c_service/000/000933.html","","福祉・介護施設","高齢者施設","高齢者介護施設","139.53982235","35.66916340"
"特別養護老人ホーム「恵比寿苑」","","東京都三鷹市牟礼1-9-20","0422-48-5577","","http://www.city.mitaka.tokyo.jp/c_service/000/000934.html","","福祉・介護施設","高齢者施設","高齢者介護施設","139.58963613","35.68400096"
"東台保育園","","東京都三鷹市中原2-17-39","0422-79-7728","0422-79-7714","","","保育・教育施設","市立保育園","市立保育園","139.57212858","35.66778826"
"三鷹駅前保育園","","東京都三鷹市下連雀3-30-12(三鷹中央通りタウンプラザ内）","0422-79-5441","0422-79-5442","","平成27.4より公私連携型保育園（私立）になりました。","保育・教育施設","私立保育園","私立保育園","139.56127760","35.69804009"
"介護老人保健施設「太郎」","","東京都三鷹市下連雀4-2-8","0422-76-6636","","http://www.city.mitaka.tokyo.jp/c_service/000/000934.html","","福祉・介護施設","高齢者施設","介護施設","139.56473936","35.69348293"
"三鷹の森ジブリ美術館（三鷹市立アニメーション美術館）","","東京都三鷹市下連雀1-1-83","0570-055777","","http://www.ghibli-museum.jp/top.html","入場は日時指定の予約制","生涯学習・文化施設","文化施設","美術館","139.57038797","35.69628027"
"女性交流室","","東京都三鷹市下連雀3-30-12（中央通りタウンプラザ4階）","","","http://www.city.mitaka.tokyo.jp/c_service/003/003642.html","","市役所・市政窓口等","市民活動施設・産業支援施設","ネットワーク大学","139.56124947","35.69818851"
"大沢の里水車経営農家","","東京都三鷹市大沢6-10-15","0422-45-1151 内線3316","","http://www.city.mitaka.tokyo.jp/c_service/001/001403.html","","生涯学習・文化施設","文化施設","文化財","139.53028613","35.67737642"
"出山横穴墓群８号墓保存・公開施設","","東京都三鷹市大沢2-18（大沢の里・自然観察路内）","0422-31-2671","","http://www.city.mitaka.tokyo.jp/c_service/001/001402.html","","生涯学習・文化施設","文化施設","文化財","139.53160700","35.67800139"
"中原緑地","","東京都三鷹市中原2-5-28","0422-45-1151内線2835","","","","環境関連施設","都市公園・広場","都市公園・広場","139.57381393","35.66500798"
"井の頭地区公会堂","","東京都三鷹市井の頭5-10-24","0422-45-7340","","","","生涯学習・文化施設","地区公会堂","地区公会堂","139.57640043","35.69694745"
"大沢台保育園","","東京都三鷹市大沢2-2-52","0422-39-3177","0422-39-3178","","","保育・教育施設","市立保育園","市立保育園","139.53705442","35.68075722"
"大沢ふるさとセンター","","東京都三鷹市大沢2-11-8","0422-33-1835","","","","市役所・市政窓口等","市民活動施設・産業支援施設","ネットワーク大学","139.53245909","35.67888451"
"SOHOパイロットオフィス","","東京都三鷹市下連雀3-27-1","0422-70-6280","","http://www.mitaka.ne.jp/business/pilotoffice/gaiyo","","市役所・市政窓口等","市民活動施設・産業支援施設","その他の公益施設","139.56138762","35.70150224"
"三立SOHOセンター","","東京都三鷹市下連雀8-3-1","0422-40-2535","","http://www.mitaka.ne.jp/business/sanritsu/gaiyo","","市役所・市政窓口等","市民活動施設・産業支援施設","その他の公益施設","139.56837658","35.68538544"
"三鷹市市民協働センター","","東京都三鷹市下連雀4-17-23","0422-46-0048","0422-46-0148","http://www.collabo-mitaka.jp/","休館日：火曜日（祝祭日は開館し、直近の平日を休館）、年末年始、受付：午前９時〜午後９時、市民活動を応援している施設です。会議室やミーティングルーム、印刷機などの事務機器があります。詳細は、ホームページをご参照ください。","市役所・市政窓口等","市民活動施設・産業支援施設","ネットワーク大学","139.56088739","35.69331195"
"新川保育園","","東京都三鷹市新川5-7-2","0422-40-7553","0422-40-7554","","","保育・教育施設","市立保育園","市立保育園","139.57014254","35.67551019"
"牟礼保育園","","東京都三鷹市牟礼7-4-52","0422-76-0883","0422-76-3536","","","保育・教育施設","市立保育園","市立保育園","139.57408598","35.68316524"
"一小学童保育所B","","東京都三鷹市新川6-4-16","0422-44-4406","0422-44-4406","","","保育・教育施設","学童保育所","学童保育所","139.56951191","35.68168176"
"グループホーム・ピアいのかしら","","東京都三鷹市井の頭2-13-6","0422-49-6444","0422-49-6444","","","福祉・介護施設","障がい者施設","障がい者施設","139.58685656","35.69146465"
"三鷹新川浄水所","","東京都三鷹市新川2-1-15","0570-091-101(ナビダイヤル)又は042-548-5110","042-548-5115","","","環境関連施設","ごみ処理施設・上下水道施設","上下水道施設","139.57726265","35.67965402"
"三鷹市営大沢住宅","","東京都三鷹市大沢6-6-1","","","http://www.city.mitaka.tokyo.jp/c_service/000/000781.html","","市役所・市政窓口等","その他の市の施設","市営住宅","139.52812729","35.67813188"
"三鷹ちどりこども園","","東京都三鷹市上連雀4-12-26","0422-72-9220","0422-72-9221","","平成27.4より公私連携保育所型認定こども園（私立）保育園になりました。","保育・教育施設","私立保育園","私立保育園","139.55718136","35.69533711"
"ふじみ衛生組合","","東京都調布市深大寺東町7-50-30","042-482-5497","042-482-5491","http://fujimieiseikumiai.jp/","","環境関連施設","ごみ処理施設・上下水道施設","ごみ処理施設","139.55900678","35.68231890"
"特別養護老人ホーム「あさひ苑」","","東京都府中市朝日町3-17-1","042-369-0080","","","","福祉・介護施設","高齢者施設","高齢者介護施設","139.52271055","35.66793918"
"特別養護老人ホーム「ちょうふの里」","","東京都調布市西町290-5","042-441-6650","","","","福祉・介護施設","高齢者施設","高齢者介護施設","139.52332681","35.66768533"
"子ども家庭支援センターのびのびひろば","","東京都三鷹市下連雀3-30-12（三鷹中央通りタウンプラザ内）","0422-40-5925","0422-76-6819","http://www.city.mitaka.tokyo.jp/c_service/001/001094.html","","保育・教育施設","子ども・子育て支援施設","その他の支援施設","139.56134485","35.69803520"
"ファミリー・サポート・センター","","東京都三鷹市下連雀4-19-6","0422-76-6817","0422-45-7702","http://www.city.mitaka.tokyo.jp/c_service/001/001097.html","","保育・教育施設","子ども・子育て支援施設","その他の支援施設","139.56025174","35.69596635"
"国際交流センター（三鷹国際交流協会ＭＩＳＨＯＰ）","","東京都三鷹市下連雀3-30-12（中央通りタウンプラザ4階）","0422-43-7812","0422-43-9966","http://www.mishop.jp/","","市役所・市政窓口等","市民活動施設・産業支援施設","ネットワーク大学","139.56122817","35.69822760"
"校外学習施設・川上郷自然の村","","長野県南佐久郡川上村大字原591番362","0267-97-3206","0267-97-3207","http://www.sizennomura.jp/","","保育・教育施設","校外学習施設","自然の村","138.56938993","35.92641777"
"大沢下原地区公会堂","","東京都三鷹市大沢5-1-18","0422-45-1151 内線2517(市役所)","","","","生涯学習・文化施設","生涯学習施設","ネットワーク大学","139.53621514","35.67204608"
"すずかけ駐輪場（定期）（一時）","","東京都三鷹市下連雀3-16-7","0422-72-8355","","http://www.mitaka.ne.jp/facilities/bicycle_parking/suzukake.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56263638","35.70000804"
"ピアえきまえ（一時保護施設）","","東京都三鷹市下連雀3-8-13-201","0422-43-0048","","","","福祉・介護施設","障がい者施設","障がい者施設","139.56371923","35.69881460"
"さくら通り第２駐輪場（定期・一時）","","東京都三鷹市下連雀3-21-30","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56161857","35.69992752"
"上連雀二丁目駐輪場（定期）","","東京都三鷹市上連雀2-7-25","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.55811803","35.70082173"
"禅林寺通り第２駐輪場（定期）","","東京都三鷹市下連雀3-37-26","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.55989531","35.70006456"
"禅林寺通り第３駐輪場（定期）","","東京都三鷹市下連雀3-41-4","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.55967669","35.69857252"
"下連雀四丁目駐輪場（無料）","","東京都三鷹市下連雀4-12-37","","","http://www.city.mitaka.tokyo.jp/c_service/030/030082.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56197578","35.69628874"
"電車庫通り駐輪場（無料）","","東京都三鷹市上連雀3-1-6","","","http://www.city.mitaka.tokyo.jp/c_service/030/030082.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.55409214","35.70155924"
"さくら通り第１駐輪場（一時）","","東京都三鷹市下連雀3-21-32","","","http://www.mitaka.ne.jp/facilities/bicycle_parking/","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56159185","35.70042956"
"三鷹産業プラザ駐輪場（一時）","","東京都三鷹市下連雀3-38-4","","","http://www.city.mitaka.tokyo.jp/c_service/030/030082.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.56033394","35.69842136"
"井の頭第１駐輪場（一時）","","東京都三鷹市井の頭3-3-12","","","http://www.city.mitaka.tokyo.jp/c_service/000/000764.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.58360405","35.69622783"
"井の頭第２駐輪場（定期）","","東京都三鷹市井の頭3-3-17","","","http://www.city.mitaka.tokyo.jp/c_service/000/000764.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.58405971","35.69620524"
"つつじヶ丘駐輪場（定期・一時）","","東京都三鷹市中原1-13-9","","","http://www.city.mitaka.tokyo.jp/c_service/000/000762.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.57513471","35.66178428"
"新川天神社前駐輪場（サイクルアンドバスライド）","","東京都三鷹市新川2-1先","","","http://www.city.mitaka.tokyo.jp/c_service/046/046480.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.57754095","35.68170310"
"天文台下駐輪場（サイクルアンドバスライド）","","東京都三鷹市大沢2-21-3","","","http://www.city.mitaka.tokyo.jp/c_service/046/046480.html","","その他","駐輪場・公共駐車場・自転車保管場所","駐輪場・自転車保管場所","139.53845136","35.67176937"
"三鷹産業プラザ自動車駐車場","","東京都三鷹市下連雀3-38-4","","","http://www.mitaka.ne.jp/facilities/auto_parking/plaza_bic.html","","その他","駐輪場・公共駐車場・自転車保管場所","公共駐車場","139.56033394","35.69842136"
"明泉幼稚園","","東京都三鷹市下連雀3-4-44","0422-43-4814","0422-42-9717","http://meisengakuen.ed.jp/","","保育・教育施設","幼稚園","幼稚園","139.56516995","35.69782625"
"三鷹幼稚園","","東京都三鷹市下連雀4-20-6","0422-43-2904","0422-43-2904","","","保育・教育施設","幼稚園","幼稚園","139.55975029","35.69581923"
"三鷹杉の子幼稚園","","東京都三鷹市下連雀6-15-10","0422-44-6463","0422-41-3793","www.mitakasuginoko.ed.jp","","保育・教育施設","幼稚園","幼稚園","139.56503567","35.69001893"
"三鷹小鳩幼稚園","","東京都三鷹市牟礼4-16-18","0422-48-8903","","","","保育・教育施設","幼稚園","幼稚園","139.57319361","35.69181914"
"三鷹のぞみ幼稚園","","東京都三鷹市牟礼5-8-44","0422-43-2565","","http://www.mitakanozomi.jp/","","保育・教育施設","幼稚園","幼稚園","139.57906791","35.68423115"
"牟礼幼稚園","","東京都三鷹市牟礼6-11-33","0422-43-0806","0422-43-1615","http://homepage2.nifty.com/mure-youchien/","","保育・教育施設","幼稚園","幼稚園","139.57591596","35.68738722"
"三鷹台幼稚園","","東京都三鷹市井の頭2-13-20","0422-43-7417","","http://www004.upp.so-net.ne.jp/mitakadai/index.html","","保育・教育施設","幼稚園","幼稚園","139.58635439","35.69175440"
"明星台幼稚園","","東京都三鷹市井の頭5-24-1","0422-43-7642","","","","保育・教育施設","幼稚園","幼稚園","139.57614855","35.69440793"
"三鷹中原幼稚園","","東京都三鷹市中原4-12-26","0422-45-0669<br>0422-45-0674","0422-45-0675","","","保育・教育施設","幼稚園","幼稚園","139.56921486","35.66649529"
"春清学苑幼稚園","","東京都三鷹市新川4-4-22","0422-44-0031","","","","保育・教育施設","幼稚園","幼稚園","139.57380205","35.66958576"
"フィッシャー幼稚園","","東京都三鷹市新川6-35-4","0422-46-4334","","","","保育・教育施設","幼稚園","幼稚園","139.56391846","35.68263473"
"三鷹若葉幼稚園","","東京都三鷹市上連雀8-8-15","0422-45-2511","","http://www.mitaka-wakaba.ed.jp","","保育・教育施設","幼稚園","幼稚園","139.55708297","35.68707635"
"三鷹みずほ幼稚園","","東京都三鷹市井口1-22-3","0422-31-3508","","","","保育・教育施設","幼稚園","幼稚園","139.54667881","35.69299560"
"三鷹双葉幼稚園","","東京都三鷹市深大寺1-3-7","0422-31-0260","","","","保育・教育施設","幼稚園","幼稚園","139.54209810","35.69305617"
"鶏鳴幼稚園","","東京都三鷹市深大寺1-15-14","0422-31-7457","","http://www1.parkcity.ne.jp/keimei/","","保育・教育施設","幼稚園","幼稚園","139.53812495","35.69275192"
"長久寺学園幼稚園","","東京都三鷹市大沢2-2-14","0422-31-9699","","","","保育・教育施設","幼稚園","幼稚園","139.53842051","35.68065947"
"こじか保育園","","東京都三鷹市新川6-7-8","0422-71-2211","0422-71-2212","","","保育・教育施設","市立保育園","市立保育園","139.56842780","35.67967518"
"あかね保育園","","東京都三鷹市下連雀2-18-12","0422-49-2671","","http://akanehoikuen.com/","","保育・教育施設","私立保育園","私立保育園","139.56491400","35.69259073"
"弘済保育所（おひさま保育園）","","東京都三鷹市下連雀5-2-5","","","","","保育・教育施設","私立保育園","私立保育園","139.57134939","35.68625652"
"井の頭保育園","","東京都三鷹市井の頭3-16-31","0422-43-7916","","","","保育・教育施設","私立保育園","私立保育園","139.58056055","35.69257336"
"みたか小鳥の森保育園","","東京都三鷹市井の頭5-22-8","0422-45-4558","","","","保育・教育施設","私立保育園","私立保育園","139.57444990","35.69424400"
"みたかつくしんぼ保育園","","東京都三鷹市中原1-29-35","03-3308-3507","","","","保育・教育施設","私立保育園","私立保育園","139.57594496","35.66722448"
"椎の実子供の家","","東京都三鷹市大沢4-8-8","0422-32-4103","","","","保育・教育施設","私立保育園","私立保育園","139.53992361","35.66994352"
"都立三鷹高等学校","","東京都三鷹市新川6-21-21","0422-46-3311","","","","保育・教育施設","都立高校","都立高校","139.56682853","35.67973263"
"明星学園小学校　中学校","","東京都三鷹市井の頭5-7-7","0422-43-2197","","","","保育・教育施設","私立小・中・高校・大学など","小学校","139.57680898","35.69518349"
"明星学園高等学校","","東京都三鷹市牟礼4-15-22","0422-48-6221","0422-41-6091","http://www.myojogakuen.ed.jp","","保育・教育施設","私立小・中・高校・大学など","高等学校","139.57370761","35.69324581"
"大成高等学校","","東京都三鷹市上連雀6-7-5","0422-43-3196","","","","保育・教育施設","私立小・中・高校・大学など","高等学校","139.55903913","35.68888610"
"国際基督教大学","","東京都三鷹市大沢3-10-2","0422-33-3040","","","","保育・教育施設","私立小・中・高校・大学など","短期大学・大学","139.52967638","35.68751937"
